person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,1,93790.0,0,0,6822.0,10.75,0.07,4.0,608,1,0
29.0,0,67654.0,6,0,12000.0,7.88,0.18,8.0,669,0,0
24.0,1,235014.0,2,1,5000.0,8.9,0.02,3.0,703,0,0
27.0,0,151231.0,5,1,24000.0,6.91,0.16,8.0,660,0,0
25.0,1,51085.0,2,0,3200.0,15.7,0.06,2.0,618,0,1
33.0,1,47127.0,9,1,2558.0,15.9,0.05,6.0,633,0,1
22.0,0,36578.0,2,0,5000.0,11.12,0.14,3.0,475,0,1
29.0,0,29442.0,9,0,1000.0,9.99,0.03,7.0,614,1,0
31.0,0,100794.0,6,1,7500.0,11.01,0.07,10.0,557,1,0
25.0,0,76644.0,1,1,3000.0,13.47,0.04,2.0,666,1,0
25.0,1,79957.0,2,1,15000.0,7.49,0.19,4.0,641,1,0
24.0,0,92397.0,0,1,15000.0,12.63,0.16,3.0,513,0,1
25.0,0,44317.0,3,0,15000.0,15.05,0.34,2.0,613,0,1
23.0,0,16720.0,1,0,2457.0,12.89,0.15,4.0,636,0,1
28.0,1,39702.0,4,0,10234.0,7.36,0.26,8.0,615,0,1
22.0,1,30066.0,0,0,4500.0,11.49,0.15,2.0,648,0,0
29.0,0,85142.0,6,0,10000.0,11.01,0.12,8.0,680,0,0
50.0,1,55772.0,26,1,5000.0,7.9,0.09,16.0,687,0,0
22.0,0,74162.0,0,0,6000.0,11.01,0.08,4.0,586,1,0
26.0,0,64317.0,5,1,4000.0,11.89,0.06,4.0,658,0,1
24.0,1,66320.0,5,1,8000.0,8.63,0.12,4.0,626,0,0
36.0,1,97114.0,15,1,10000.0,6.62,0.1,14.0,661,1,0
36.0,0,90820.0,13,1,10000.0,11.75,0.11,12.0,696,1,0
23.0,0,85041.0,2,0,4800.0,11.01,0.06,2.0,578,1,0
26.0,0,82507.0,4,1,24250.0,12.18,0.29,4.0,702,1,0
23.0,1,46827.0,0,1,8400.0,13.8,0.18,2.0,685,1,0
25.0,1,67076.0,2,0,4000.0,8.57,0.06,3.0,601,1,0
32.0,0,53742.0,7,0,8000.0,10.32,0.15,10.0,648,1,0
29.0,1,96857.0,9,1,22000.0,10.59,0.23,10.0,673,0,0
23.0,1,74246.0,2,1,10000.0,7.88,0.13,3.0,583,1,0
23.0,0,111677.0,2,0,6887.0,12.23,0.06,4.0,577,1,0
21.0,1,50084.0,0,1,5000.0,7.74,0.1,3.0,678,1,0
26.0,1,37097.0,5,0,4000.0,14.27,0.11,2.0,673,0,1
29.0,1,140223.0,8,1,24962.0,13.39,0.18,8.0,687,0,1
24.0,0,114678.0,2,1,10000.0,10.65,0.09,4.0,591,1,0
31.0,0,96956.0,6,1,10000.0,11.01,0.1,5.0,603,1,0
22.0,0,72547.0,0,1,11200.0,5.79,0.15,4.0,566,0,0
23.0,0,50889.0,2,0,7356.0,12.0,0.14,3.0,593,1,0
24.0,0,84747.0,5,0,8000.0,12.94,0.09,4.0,588,1,0
25.0,1,103093.0,1,0,15000.0,8.19,0.15,4.0,652,1,0
34.0,1,26505.0,10,0,5000.0,13.45,0.19,8.0,669,0,1
23.0,0,92495.0,0,1,9000.0,11.01,0.1,3.0,634,0,1
34.0,1,87607.0,13,0,20000.0,11.89,0.23,10.0,735,0,0
26.0,1,162872.0,7,1,24000.0,12.99,0.15,2.0,706,1,0
24.0,0,62040.0,1,0,9830.0,9.57,0.16,3.0,653,1,0
21.0,0,44067.0,0,1,8000.0,9.32,0.18,3.0,583,0,0
22.0,1,15498.0,1,0,6000.0,8.88,0.39,4.0,708,0,1
43.0,0,67140.0,16,1,11750.0,10.99,0.18,17.0,676,1,0
23.0,0,49187.0,2,1,10000.0,12.72,0.2,2.0,583,0,0
24.0,1,68051.0,0,0,15000.0,12.87,0.22,2.0,594,1,0
24.0,1,136827.0,0,0,10191.0,10.09,0.07,3.0,615,0,1
28.0,1,25086.0,3,1,10000.0,11.01,0.4,7.0,623,0,1
22.0,0,102456.0,0,1,12000.0,6.91,0.12,3.0,648,1,0
25.0,1,68111.0,1,1,3500.0,14.17,0.05,3.0,692,1,0
22.0,0,43178.0,1,0,6000.0,11.01,0.14,2.0,658,1,0
29.0,0,55272.0,6,0,10000.0,11.01,0.18,5.0,662,0,0
30.0,1,129544.0,8,1,2500.0,10.78,0.02,6.0,669,0,0
30.0,0,108001.0,8,0,28869.0,7.97,0.27,7.0,602,0,1
24.0,1,116992.0,0,1,14000.0,17.19,0.12,4.0,655,1,0
25.0,1,136746.0,6,1,25000.0,11.61,0.18,6.0,658,0,0
25.0,0,48777.0,2,1,4500.0,10.99,0.09,3.0,556,1,0
23.0,1,60867.0,0,0,6000.0,11.86,0.1,3.0,600,1,0
30.0,0,72969.0,6,0,8000.0,7.66,0.11,6.0,615,0,0
25.0,0,116369.0,4,1,4000.0,9.88,0.03,3.0,521,1,0
38.0,0,157075.0,15,1,11000.0,10.74,0.07,11.0,654,0,0
24.0,1,60838.0,5,0,8000.0,7.96,0.13,4.0,560,1,0
25.0,1,85053.0,3,0,12000.0,8.9,0.14,2.0,616,1,0
26.0,0,141216.0,2,1,6000.0,7.51,0.04,4.0,576,0,0
21.0,1,60925.0,0,0,12000.0,11.71,0.2,3.0,530,1,0
22.0,0,65835.0,2,0,3200.0,16.49,0.05,4.0,680,0,1
23.0,0,152485.0,0,1,3212.0,14.78,0.02,3.0,682,0,0
23.0,0,39925.0,1,0,12300.0,11.01,0.31,3.0,537,0,1
25.0,0,52926.0,2,0,3000.0,13.8,0.06,3.0,725,1,0
29.0,1,54863.0,5,0,7500.0,11.01,0.14,5.0,652,1,0
24.0,1,71342.0,5,0,6300.0,14.91,0.09,2.0,658,0,1
25.0,0,47763.0,6,0,16000.0,16.38,0.33,3.0,629,0,1
22.0,0,38089.0,0,1,1050.0,7.51,0.03,4.0,581,0,1
37.0,0,143942.0,16,1,5169.0,10.91,0.04,10.0,617,1,0
22.0,1,43363.0,0,0,4992.0,11.0,0.12,3.0,527,1,0
41.0,1,167170.0,17,1,23000.0,14.96,0.14,12.0,573,0,1
22.0,1,68235.0,1,1,25000.0,16.4,0.37,3.0,632,0,1
26.0,0,91227.0,6,1,9600.0,5.42,0.11,3.0,644,1,0
22.0,1,36844.0,0,0,5000.0,8.88,0.14,3.0,614,0,1
32.0,1,15301.0,9,0,6075.0,12.42,0.4,8.0,661,0,1
36.0,1,39086.0,13,1,3600.0,13.49,0.09,11.0,621,1,0
23.0,1,24983.0,3,0,1500.0,9.62,0.06,3.0,670,1,0
23.0,0,55019.0,0,1,9925.0,11.48,0.18,2.0,592,1,0
25.0,1,68700.0,5,0,3838.0,15.03,0.06,3.0,643,0,1
27.0,0,54879.0,5,0,18000.0,13.16,0.33,7.0,611,0,1
29.0,1,74965.0,9,1,10000.0,12.41,0.13,9.0,576,1,0
28.0,0,78570.0,6,1,1454.0,9.73,0.02,6.0,636,0,0
31.0,0,36929.0,8,0,7200.0,11.48,0.19,6.0,588,1,0
25.0,1,211017.0,5,1,10000.0,15.05,0.05,4.0,631,1,0
21.0,1,31253.0,0,0,6000.0,7.49,0.19,3.0,450,1,0
29.0,0,15532.0,8,0,4500.0,15.05,0.29,9.0,619,0,1
41.0,0,46963.0,20,0,8875.0,19.03,0.19,11.0,698,1,0
32.0,0,186782.0,11,1,8000.0,11.01,0.04,6.0,683,0,0
33.0,1,35824.0,13,0,10000.0,13.06,0.28,9.0,657,0,1
24.0,1,115945.0,2,0,17400.0,10.37,0.15,2.0,619,1,0
29.0,1,36799.0,6,0,2000.0,10.75,0.05,7.0,608,0,0
26.0,1,61280.0,4,1,12000.0,8.49,0.2,4.0,654,1,0
31.0,0,66823.0,11,0,10000.0,8.56,0.15,10.0,623,1,0
23.0,1,48159.0,0,0,6000.0,15.99,0.12,3.0,592,0,1
26.0,0,115019.0,3,1,14000.0,6.03,0.12,4.0,677,1,0
21.0,1,45480.0,0,0,7500.0,14.84,0.16,2.0,658,0,1
26.0,0,51672.0,2,0,3500.0,12.61,0.07,4.0,596,1,0
22.0,1,42450.0,1,0,7500.0,15.05,0.18,2.0,682,0,1
25.0,0,72982.0,5,1,13000.0,14.17,0.18,3.0,691,0,0
33.0,1,53709.0,13,1,4500.0,14.74,0.08,10.0,644,0,1
42.0,1,39683.0,20,0,10000.0,10.38,0.25,15.0,690,0,1
23.0,1,53026.0,0,0,10450.0,13.57,0.2,3.0,618,0,0
28.0,0,120915.0,7,0,18000.0,13.91,0.15,9.0,501,1,0
25.0,0,24152.0,6,0,4000.0,11.01,0.17,3.0,649,0,1
25.0,1,29861.0,0,0,9600.0,11.71,0.32,3.0,598,0,1
35.0,1,31112.0,14,0,8000.0,7.51,0.26,7.0,705,0,1
29.0,1,82779.0,5,0,10000.0,10.65,0.12,5.0,629,1,0
23.0,1,30059.0,0,1,1375.0,11.11,0.05,4.0,506,0,1
26.0,1,53841.0,4,0,4500.0,7.74,0.08,3.0,704,1,0
28.0,1,67349.0,5,1,3000.0,11.72,0.04,10.0,610,1,0
21.0,0,72792.0,0,0,8000.0,11.26,0.11,3.0,687,0,0
21.0,0,26844.0,0,0,3500.0,7.51,0.13,2.0,627,1,0
23.0,1,36757.0,0,1,8000.0,5.78,0.22,4.0,576,1,0
27.0,0,83707.0,3,0,2500.0,7.14,0.03,8.0,613,1,0
28.0,0,70058.0,4,1,23000.0,11.01,0.33,7.0,501,1,0
25.0,1,42203.0,6,1,2000.0,7.66,0.05,4.0,614,0,1
24.0,0,73202.0,1,0,20000.0,11.14,0.27,2.0,536,0,1
41.0,1,71026.0,21,0,7150.0,15.99,0.1,16.0,701,0,1
24.0,1,35392.0,1,1,6000.0,9.99,0.17,3.0,604,1,0
34.0,0,110760.0,12,0,12000.0,6.92,0.11,7.0,658,1,0
28.0,1,95281.0,8,1,14000.0,11.36,0.15,10.0,582,1,0
28.0,1,124432.0,7,1,10000.0,8.5,0.08,10.0,645,1,0
29.0,0,123553.0,9,1,6000.0,7.88,0.05,9.0,664,1,0
26.0,1,66453.0,6,1,10000.0,8.94,0.15,3.0,692,1,0
32.0,1,91097.0,8,1,10000.0,11.89,0.11,5.0,646,0,0
21.0,1,51308.0,1,1,2500.0,7.29,0.05,4.0,681,1,0
28.0,0,84907.0,6,1,5600.0,6.62,0.07,5.0,717,1,0
41.0,1,61078.0,17,0,6000.0,8.88,0.1,17.0,675,1,0
24.0,1,72749.0,2,0,6500.0,7.84,0.09,3.0,648,0,0
24.0,1,102820.0,0,1,12000.0,11.14,0.12,3.0,631,1,0
26.0,1,98598.0,1,0,8371.0,9.57,0.08,6.0,656,1,0
27.0,1,124222.0,7,0,1901.0,9.15,0.02,8.0,602,0,0
33.0,0,53666.0,11,0,8000.0,17.49,0.15,8.0,692,0,0
26.0,0,67056.0,5,1,10500.0,5.79,0.16,2.0,689,1,0
37.0,1,55094.0,10,0,6000.0,12.61,0.11,17.0,694,1,0
25.0,0,67298.0,5,1,8000.0,9.24,0.12,5.0,624,1,0
21.0,0,30896.0,0,1,2800.0,11.01,0.09,3.0,687,1,0
23.0,0,91179.0,1,0,6000.0,6.03,0.07,4.0,692,1,0
23.0,0,31126.0,0,0,1800.0,12.69,0.06,3.0,571,0,1
44.0,0,142342.0,21,0,2500.0,7.29,0.02,11.0,657,0,1
25.0,0,40884.0,2,0,5500.0,11.01,0.13,4.0,683,1,0
32.0,1,35391.0,10,0,14500.0,16.7,0.41,10.0,669,0,1
29.0,0,55039.0,3,1,9227.0,10.12,0.17,5.0,631,1,0
28.0,1,60116.0,4,0,3600.0,13.98,0.06,9.0,553,0,1
26.0,1,143449.0,2,1,15000.0,14.42,0.1,2.0,610,1,0
24.0,0,79106.0,1,0,9600.0,12.91,0.12,4.0,656,1,0
25.0,1,213645.0,3,1,24000.0,11.11,0.11,4.0,591,1,0
22.0,0,51566.0,0,1,5000.0,8.94,0.1,2.0,658,1,0
26.0,1,55033.0,6,1,14125.0,13.99,0.26,2.0,586,1,0
24.0,1,79211.0,4,1,5000.0,8.59,0.06,2.0,720,1,0
48.0,1,84772.0,28,1,21600.0,7.51,0.25,11.0,664,1,0
42.0,1,118105.0,15,0,7000.0,8.9,0.06,13.0,658,1,0
29.0,0,192804.0,8,1,10000.0,12.05,0.05,8.0,635,0,0
23.0,0,49688.0,1,0,5500.0,12.73,0.11,4.0,589,0,0
22.0,0,46631.0,0,0,12000.0,10.75,0.26,3.0,661,0,1
25.0,1,58297.0,2,1,7800.0,8.94,0.13,2.0,660,1,0
30.0,0,64194.0,5,0,2200.0,10.99,0.03,8.0,577,1,0
37.0,0,107963.0,14,1,5000.0,6.91,0.05,15.0,577,1,0
24.0,0,57403.0,2,1,6000.0,11.11,0.1,4.0,653,1,0
25.0,1,132964.0,0,1,20000.0,7.88,0.15,2.0,611,1,0
24.0,1,90889.0,1,0,24000.0,10.37,0.26,3.0,643,0,1
23.0,1,102800.0,5,1,20000.0,11.01,0.19,4.0,656,1,0
37.0,1,114881.0,16,0,7500.0,7.51,0.07,16.0,670,1,0
32.0,0,58476.0,10,1,10650.0,10.59,0.18,9.0,582,1,0
25.0,1,69945.0,5,1,9000.0,11.01,0.13,3.0,647,0,0
33.0,1,162851.0,10,1,15000.0,13.61,0.09,9.0,633,1,0
35.0,0,60939.0,14,0,17500.0,12.84,0.29,5.0,700,0,1
26.0,1,92765.0,7,1,24000.0,12.73,0.26,3.0,593,1,0
30.0,0,61022.0,8,0,6533.0,10.43,0.11,5.0,629,1,0
24.0,0,64478.0,0,0,3000.0,12.99,0.05,3.0,639,1,0
22.0,1,27385.0,3,1,7200.0,7.14,0.26,2.0,636,0,0
26.0,0,47721.0,1,0,15000.0,15.37,0.31,2.0,680,0,1
24.0,1,26110.0,0,0,1800.0,10.65,0.07,2.0,674,0,0
27.0,0,113110.0,3,1,12000.0,8.29,0.11,7.0,555,1,0
23.0,1,84629.0,0,1,3477.0,6.08,0.04,4.0,638,0,0
26.0,0,84862.0,4,1,10000.0,11.01,0.12,4.0,646,1,0
30.0,0,55162.0,7,0,6000.0,12.69,0.11,8.0,702,0,0
29.0,1,265757.0,9,1,9694.0,11.79,0.04,4.0,583,1,0
25.0,0,71415.0,0,0,8000.0,12.0,0.11,4.0,603,1,0
25.0,1,70489.0,1,1,9000.0,7.88,0.13,5.0,566,1,0
25.0,1,52166.0,5,0,7128.0,12.04,0.14,5.0,699,0,0
28.0,0,42914.0,4,0,10000.0,14.61,0.23,7.0,618,0,0
22.0,1,66816.0,0,0,5000.0,6.91,0.07,2.0,657,0,0
37.0,0,71667.0,15,1,9000.0,10.25,0.13,13.0,678,1,0
23.0,1,91008.0,0,0,5000.0,6.33,0.05,3.0,620,1,0
37.0,0,157076.0,17,0,13000.0,9.88,0.08,16.0,654,1,0
25.0,1,67267.0,0,0,10800.0,13.57,0.16,2.0,581,1,0
25.0,1,53535.0,6,0,2400.0,7.66,0.04,4.0,553,0,0
31.0,1,122149.0,10,0,7500.0,13.22,0.06,5.0,690,0,0
22.0,0,49139.0,0,0,6000.0,7.66,0.12,2.0,549,1,0
26.0,1,37199.0,6,0,7500.0,12.18,0.2,3.0,650,0,1
27.0,1,78865.0,1,1,18000.0,7.51,0.23,5.0,600,0,0
25.0,1,85060.0,5,0,12000.0,13.55,0.14,3.0,670,0,0
31.0,1,35815.0,8,0,15075.0,11.01,0.42,7.0,517,0,1
24.0,1,193091.0,0,1,12000.0,5.65,0.06,5.0,617,1,0
25.0,0,47873.0,4,0,16000.0,14.9,0.33,3.0,580,0,1
22.0,0,41984.0,2,0,2500.0,13.57,0.06,3.0,532,0,1
32.0,0,79041.0,9,1,12000.0,13.35,0.15,9.0,601,1,0
30.0,1,207391.0,6,1,20000.0,11.01,0.1,8.0,635,0,0
23.0,0,44118.0,0,1,5500.0,5.42,0.12,3.0,527,1,0
24.0,1,69251.0,3,1,9000.0,8.0,0.13,4.0,700,0,0
44.0,1,211336.0,22,1,15000.0,7.66,0.07,17.0,684,1,0
26.0,1,37200.0,4,0,2300.0,10.99,0.06,2.0,626,1,0
23.0,1,35760.0,0,0,6000.0,7.88,0.17,3.0,625,0,1
35.0,0,123790.0,13,0,20000.0,13.85,0.16,10.0,651,1,0
27.0,1,90711.0,4,0,20000.0,10.82,0.22,6.0,539,1,0
25.0,1,37910.0,2,1,2000.0,11.12,0.05,4.0,683,1,0
24.0,1,90893.0,0,1,8000.0,14.61,0.09,3.0,664,1,0
24.0,1,54659.0,0,1,7200.0,7.29,0.13,4.0,667,0,0
24.0,1,37430.0,0,1,5000.0,7.74,0.13,2.0,673,0,0
22.0,1,58627.0,0,0,5000.0,11.36,0.09,4.0,651,0,0
28.0,0,74000.0,6,1,12000.0,6.03,0.16,5.0,666,1,0
29.0,1,41327.0,8,0,9600.0,15.99,0.23,7.0,709,0,1
22.0,0,28276.0,3,0,4850.0,14.27,0.17,3.0,575,1,0
22.0,0,73027.0,0,1,8000.0,16.0,0.11,2.0,683,1,0
24.0,0,73107.0,0,0,10000.0,6.54,0.14,2.0,573,1,0
30.0,0,121040.0,9,1,7500.0,11.59,0.06,6.0,615,1,0
30.0,0,45942.0,5,0,1513.0,9.42,0.03,7.0,597,1,0
30.0,0,84773.0,8,0,15000.0,13.61,0.18,8.0,693,0,0
23.0,1,75080.0,0,1,5000.0,11.36,0.07,3.0,650,1,0
27.0,1,50035.0,3,0,2000.0,7.49,0.04,9.0,660,1,0
22.0,1,103092.0,0,1,12000.0,6.91,0.12,3.0,642,1,0
42.0,1,94649.0,17,1,8000.0,10.78,0.08,13.0,700,0,0
29.0,0,90671.0,6,1,18000.0,12.42,0.2,9.0,706,0,0
30.0,1,114923.0,8,1,10000.0,7.51,0.09,9.0,654,1,0
22.0,0,40812.0,0,0,2400.0,11.48,0.06,4.0,673,0,0
65.0,1,112569.0,45,1,25000.0,9.99,0.22,27.0,689,1,0
22.0,1,99315.0,3,1,7000.0,14.72,0.07,4.0,630,1,0
24.0,1,108933.0,4,1,7000.0,10.99,0.06,3.0,648,1,0
40.0,0,92615.0,16,0,5000.0,13.72,0.05,15.0,677,0,0
38.0,0,241127.0,17,1,3000.0,7.68,0.01,12.0,684,1,0
22.0,1,52522.0,0,1,8500.0,14.24,0.16,3.0,602,1,0
22.0,0,36763.0,1,0,6000.0,13.23,0.16,3.0,642,0,1
24.0,1,132600.0,6,1,12000.0,8.94,0.09,3.0,657,0,0
29.0,1,87153.0,4,1,24000.0,10.99,0.28,6.0,677,0,0
30.0,1,53659.0,10,0,9147.0,7.29,0.17,6.0,639,1,0
30.0,0,44090.0,9,0,4200.0,14.27,0.1,5.0,649,0,0
23.0,1,39689.0,0,0,4000.0,7.68,0.1,3.0,565,1,0
37.0,1,86616.0,16,1,3100.0,20.0,0.04,14.0,673,0,1
25.0,1,47085.0,4,1,8479.0,11.6,0.18,2.0,639,1,0
23.0,1,37137.0,0,0,3000.0,5.79,0.08,3.0,567,1,0
25.0,0,37942.0,4,0,5000.0,9.06,0.13,2.0,658,1,0
22.0,1,22793.0,0,0,6000.0,6.62,0.26,2.0,631,0,1
24.0,0,94546.0,4,1,24000.0,15.96,0.25,4.0,708,0,1
24.0,1,100758.0,0,0,25000.0,11.01,0.25,2.0,635,0,1
22.0,0,83821.0,1,0,8650.0,11.49,0.1,4.0,477,1,0
22.0,1,82272.0,0,1,9600.0,14.96,0.12,4.0,656,0,0
29.0,0,57412.0,8,0,16000.0,11.71,0.28,8.0,588,0,1
30.0,1,51926.0,11,0,12000.0,11.71,0.23,8.0,595,1,0
30.0,1,36687.0,7,1,4400.0,11.99,0.12,5.0,619,0,1
32.0,0,55739.0,12,0,14458.0,11.06,0.26,9.0,666,0,1
24.0,1,75216.0,0,1,20000.0,11.01,0.27,4.0,618,0,0
52.0,0,63273.0,31,1,9600.0,8.49,0.15,22.0,673,1,0
26.0,1,151220.0,8,1,14800.0,11.01,0.1,3.0,542,1,0
25.0,1,64408.0,4,1,16000.0,12.53,0.25,2.0,603,1,0
23.0,0,53294.0,0,1,25000.0,11.01,0.47,3.0,680,0,1
32.0,1,132315.0,9,1,12000.0,12.09,0.09,8.0,559,1,0
43.0,0,144620.0,22,1,5477.0,10.03,0.04,17.0,727,1,0
22.0,0,88128.0,0,0,4200.0,11.71,0.05,3.0,623,1,0
22.0,0,37920.0,0,0,7025.0,6.54,0.19,4.0,673,0,1
25.0,0,75312.0,6,0,5000.0,11.01,0.07,2.0,663,0,0
34.0,0,55083.0,10,0,4500.0,16.95,0.08,10.0,704,0,1
27.0,0,190083.0,5,1,35000.0,12.99,0.18,10.0,689,1,0
28.0,0,47170.0,7,0,3600.0,11.12,0.08,7.0,645,1,0
38.0,0,149673.0,15,1,12000.0,10.18,0.08,14.0,704,0,0
34.0,1,130858.0,13,0,12350.0,14.96,0.09,7.0,671,0,1
23.0,0,97456.0,0,0,7800.0,9.99,0.08,2.0,669,1,0
21.0,0,103264.0,0,0,15000.0,10.95,0.15,3.0,530,1,0
21.0,1,49302.0,1,0,1500.0,12.18,0.03,4.0,582,1,0
23.0,0,79315.0,0,1,7000.0,7.31,0.09,4.0,668,1,0
24.0,1,68271.0,2,1,12250.0,6.03,0.18,4.0,589,1,0
33.0,0,146262.0,9,1,17600.0,13.57,0.12,5.0,692,0,0
27.0,0,88943.0,5,0,9000.0,9.63,0.1,7.0,698,0,1
25.0,0,61521.0,0,1,20000.0,11.51,0.33,4.0,529,1,0
22.0,0,43032.0,2,1,9000.0,9.09,0.21,4.0,620,1,0
23.0,0,24136.0,1,1,6000.0,6.54,0.25,4.0,617,0,1
29.0,0,108843.0,2,0,2400.0,13.49,0.02,9.0,612,0,0
23.0,0,96969.0,2,0,20000.0,14.3,0.21,4.0,608,1,0
25.0,1,65667.0,4,1,5100.0,9.62,0.08,4.0,650,0,0
32.0,1,53892.0,11,1,5500.0,10.31,0.1,9.0,548,1,0
26.0,1,19116.0,8,0,4375.0,12.69,0.23,4.0,645,0,1
26.0,1,59668.0,7,0,3000.0,12.21,0.05,5.0,628,0,0
26.0,0,96814.0,2,1,15000.0,16.07,0.15,2.0,630,0,0
25.0,1,39927.0,1,0,7175.0,9.14,0.18,4.0,600,1,0
22.0,0,34637.0,0,0,1000.0,10.25,0.03,3.0,582,0,1
25.0,1,24048.0,4,0,3800.0,14.35,0.16,4.0,600,0,1
24.0,1,44562.0,0,1,4000.0,15.23,0.09,3.0,628,0,1
34.0,0,32642.0,11,1,3600.0,9.88,0.11,9.0,699,0,0
27.0,1,76515.0,0,0,12000.0,15.95,0.16,9.0,602,0,1
43.0,1,60933.0,21,0,18000.0,14.35,0.3,16.0,705,0,1
22.0,1,96861.0,1,1,1500.0,10.37,0.02,4.0,661,0,0
22.0,1,52202.0,0,0,7500.0,7.9,0.14,2.0,635,1,0
23.0,0,19622.0,0,0,1200.0,14.91,0.06,4.0,626,0,1
22.0,1,44819.0,0,0,6000.0,11.86,0.13,4.0,683,1,0
24.0,1,45201.0,1,1,10000.0,10.99,0.22,3.0,565,1,0
23.0,1,127106.0,2,1,12000.0,8.51,0.09,4.0,591,1,0
27.0,0,91030.0,6,0,14000.0,9.63,0.15,5.0,660,0,0
23.0,0,32193.0,1,0,4000.0,11.01,0.12,4.0,636,0,0
24.0,0,34463.0,1,0,4190.0,14.75,0.12,4.0,552,1,0
24.0,1,65905.0,0,0,4500.0,8.51,0.07,3.0,619,0,1
23.0,1,173511.0,0,0,24250.0,11.83,0.14,3.0,631,1,0
31.0,0,77821.0,7,1,6474.0,7.55,0.08,7.0,598,1,0
23.0,0,39300.0,0,0,7500.0,13.03,0.19,3.0,612,1,0
23.0,0,109410.0,4,1,21000.0,7.49,0.19,4.0,677,1,0
21.0,1,63326.0,0,0,1500.0,11.99,0.02,3.0,711,1,0
26.0,1,36914.0,3,0,5000.0,11.01,0.14,2.0,665,0,0
34.0,1,19575.0,10,1,3800.0,7.49,0.19,9.0,595,0,1
22.0,0,24639.0,0,0,7750.0,14.83,0.31,4.0,550,0,1
24.0,1,54760.0,2,1,4000.0,11.01,0.07,2.0,680,1,0
35.0,1,79683.0,12,0,19000.0,11.14,0.24,7.0,614,1,0
45.0,1,57093.0,22,1,7500.0,6.72,0.13,12.0,694,1,0
48.0,0,100658.0,20,0,12000.0,10.99,0.12,17.0,729,0,0
23.0,1,121002.0,0,0,5000.0,8.49,0.04,3.0,573,1,0
